id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
449376,UKR-2022-3-920-61,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Ukrinform,2022-10-03,Kharkiv region: there is not a single surviving house in Kamyanets, the police find the bodies of the dead in the basements""",Ukrinform,2022-10-03,"Kharkiv region: there is not a single surviving house in Kamyanets, the police find the bodies of the dead in the basements",Ukraine (press service of the National Police),1,Kamyanka village,"village of Kamenka, Izyumsky district, Kharkiv region",Kharkiv oblast,Izyum raion,49.121944,37.292500,POINT (37.2925 49.121944),200595,Ukraine,369,Europe,2,5,2022-02-24 00:00:00.000,2022-09-10 00:00:00.000,0,0,3,0,3,3,3,365,
448644,UKR-2022-3-920-58,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Ukrinform,2022-09-23,Exhumation in the forest near Izyum is being completed, but three more mass grave sites have been discovered""",Ukrinform,2022-09-23,"Exhumation in the forest near Izyum is being completed, but three more mass grave sites have been discovered","Ukraine (Oleg Sinegubov, head of the Kharkiv OVA)",2,Izyum town,Izyum (forest near),Kharkiv oblast,Izyum raion,49.209749,37.265663,POINT (37.265663 49.209749),200595,Ukraine,369,Europe,2,5,2022-02-24 00:00:00.000,2022-09-10 00:00:00.000,0,0,30,0,30,30,30,365,
449504,UKR-2022-3-920-93,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,2,"""Ukrinform,2022-10-05,South: Russians destroy their own munitions, bridges and crossings to slow down UAF attacks"";""Ukrinform,2022-11-16,As a result of the shelling of the Russian Federation in the Donetsk region , a civilian was killed , seven more were injured""",Ukrinform;Ukrinform,2022-10-05;2022-11-16,"South: Russians destroy their own munitions, bridges and crossings to slow down UAF attacks;As a result of the shelling of the Russian Federation in the Donetsk region , a civilian was killed , seven more were injured",Ukraine (head of the Donetsk Regional Military Administration Pavel Kirilenko),1,Svyatohirsk village,Svyatogorsk,Donetsk oblast,Kramatorsk raion,49.037516,37.568266,POINT (37.568266 49.037516),200596,Ukraine,369,Europe,1,5,2022-02-24 00:00:00.000,2022-10-04 00:00:00.000,0,0,2,0,2,6,2,365,
441013,RUS-2022-3-920-86,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Ukrinform: news,2022-06-13,Another mass grave of civilians was discovered in the Kyiv region - Nebytov""",Ukrinform: news,2022-06-13,Another mass grave of civilians was discovered in the Kyiv region - Nebytov,"Ukrinform - Andriy Nebytov, the head of the Kyiv region police",2,Myrotske village,"near the village of Mirotskoye, Buchansky district",Kyiv oblast,Bucha raion,50.574881,30.130570,POINT (30.13057 50.574881),202741,Ukraine,369,Europe,2,5,2022-02-24 00:00:00.000,2022-04-01 00:00:00.000,0,0,7,0,7,7,7,365,
437626,RUS-2022-3-920-68,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Ukrinform: news,2022-05-16,In the Kiev region in the forest belt, the police found the body of a 28-year-old man shot dead by Russians""",Ukrinform: news,2022-05-16,"In the Kiev region in the forest belt, the police found the body of a 28-year-old man shot dead by Russians",police of the Kyiv region,2,Vyshhorod town,in a forest belt near the village of Vyshegrad,Kyiv oblast,Vyshhorod raion,50.584760,30.489800,POINT (30.4898 50.58476),202741,Ukraine,369,Europe,1,5,2022-02-24 00:00:00.000,2022-03-31 00:00:00.000,0,0,1,0,1,1,1,365,
430416,UKR-2022-3-920-0,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Укринформ: новости,2022-02-27,Возле Новой Каховки россияне расстреляли семью с детьми, самому младшему было полтора месяца""",Укринформ: новости,2022-02-27,"Возле Новой Каховки россияне расстреляли семью с детьми, самому младшему было полтора месяца",relative/witness,1,Kakhovka Hydroelectric Power Plant,Nova Kakhovka hydroelectric power station (leaving the village of Vesele),Kherson oblast,Kakhovka raion,46.775878,33.372055,POINT (33.372055 46.775878),196987,Ukraine,369,Europe,1,1,2022-02-24 00:00:00.000,2022-02-24 00:00:00.000,0,0,5,0,5,5,5,365,
459870,UKR-2022-3-920-126,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Ukrinform: news,2023-01-02,In the Kherson region, two facts of the execution of civilian cars by the invaders were established""",Ukrinform: news,2023-01-02,"In the Kherson region, two facts of the execution of civilian cars by the invaders were established",Ukraine (police of Kherson region),1,Beryslav town,"Berislav, near the church",Kherson oblast,Beryslav raion,46.842916,33.432214,POINT (33.432214 46.842916),196987,Ukraine,369,Europe,1,2,2022-02-24 00:00:00.000,2022-02-28 00:00:00.000,0,0,1,0,1,1,1,365,
459926,UKR-2022-3-920-127,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Office of the United Nations High Commissioner for Human Rights,2022-12-07,KILLINGS OF CIVILIANS: SUMMARY EXECUTIONS AND ATTACKS ON INDIVIDUAL CIVILIANS IN KYIV, CHERNIHIV, AND SUMY REGIONS IN THE CONTEXT OF THE RUSSIAN FEDERATION’S ARMED ATTACK AGAINST UKRAINE""",Office of the United Nations High Commissioner for Human Rights,2022-12-07,"KILLINGS OF CIVILIANS: SUMMARY EXECUTIONS AND ATTACKS ON INDIVIDUAL CIVILIANS IN KYIV, CHERNIHIV, AND SUMY REGIONS IN THE CONTEXT OF THE RUSSIAN FEDERATION’S ARMED ATTACK AGAINST UKRAINE",OHCHR,1,Dytiatky village,moving from the Chernobyl exclusion zone to Orane through Dytiatky,Kyiv oblast,Vyshhorod raion,51.110400,30.146540,POINT (30.14654 51.1104),203461,Ukraine,369,Europe,1,1,2022-02-24 00:00:00.000,2022-02-24 00:00:00.000,0,0,2,0,2,2,2,365,
453816,UKR-2022-3-920-95,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,1,"""Ukrinform,2022-11-17,Bodies of 991 civilians found in liberated territories of four regions - police""",Ukrinform,2022-11-17,Bodies of 991 civilians found in liberated territories of four regions - police,Ukraine Interior Minister Denis Monastyrsky,4,Kherson oblast,Kherson region.,Kherson oblast,,46.640600,32.615890,POINT (32.61589 46.6406),196986,Ukraine,369,Europe,2,5,2022-02-24 00:00:00.000,2022-11-17 00:00:00.000,0,0,63,0,63,63,63,365,
451397,UKR-2022-3-920-77,2022,true,Clear,3,57,453,Government of Russia (Soviet Union) - Civilians,57,920,Government of Russia (Soviet Union) - Civilians,57,57,Government of Russia (Soviet Union),9999,1,Civilians,2,"""Ukrinform,2022-10-22,Russian army killed 430 children in Ukraine"";""Ukrinform,2022-10-23,The police documented the murder of a 10-year-old girl by the military of the Russian Federation in the Kharkiv region""",Ukrinform;Ukrinform,2022-10-22;2022-10-23,Russian army killed 430 children in Ukraine;The police documented the murder of a 10-year-old girl by the military of the Russian Federation in the Kharkiv region,Ukraine (Prosecutor General's Office ),1,Novyi Burluk village,"village of Novy Burluk, Kharkiv region",Kharkiv oblast,Chuhuiv raion,49.868510,37.099560,POINT (37.09956 49.86851),201315,Ukraine,369,Europe,1,1,2022-02-25 00:00:00.000,2022-02-25 00:00:00.000,0,0,1,0,1,1,1,365,
